city,lat,lng,country
Tokyo,35.687,139.7495,Japan
Jakarta,-6.175,106.8275,Indonesia
Delhi,28.61,77.23,India
Guangzhou,23.13,113.26,China
Mumbai,19.0761,72.8775,India
Manila,14.5958,120.9772,Philippines
Shanghai,31.2286,121.4747,China
São Paulo,-23.5504,-46.6339,Brazil
Seoul,37.5667,126.9833,"Korea, South"
Mexico City,19.4333,-99.1333,Mexico
Kolkāta,22.5675,88.37,India
Cairo,30.0444,31.2358,Egypt
Karachi,24.86,67.01,Pakistan
Dhaka,23.7289,90.3944,Bangladesh
New York,40.6943,-73.9249,United States
Beijing,39.9067,116.3975,China
Bangkok,13.7525,100.4942,Thailand
Shenzhen,22.5415,114.0596,China
Moscow,55.7506,37.6175,Russia
Buenos Aires,-34.6036,-58.3814,Argentina
Lagos,6.455,3.3841,Nigeria
Bangalore,12.9789,77.5917,India
Ho Chi Minh City,10.7756,106.7019,Vietnam
Ōsaka,34.6939,135.5022,Japan
Chengdu,30.66,104.0633,China
Istanbul,41.0136,28.955,Turkey
Tehran,35.6889,51.3897,Iran
Kinshasa,-4.3219,15.3119,Congo (Kinshasa)
Rio de Janeiro,-22.9111,-43.2056,Brazil
Chennai,13.0825,80.275,India
Xi’an,34.2611,108.9422,China
Lahore,31.5497,74.3436,Pakistan
Chongqing,29.5637,106.5504,China
Los Angeles,34.1141,-118.4068,United States
London,51.5072,-0.1275,United Kingdom
Paris,48.8567,2.3522,France
Linyi,35.1038,118.3564,China
Dongguan,23.021,113.752,China
Baoding,38.874,115.464,China
Hyderābād,17.3617,78.4747,India
Tianjin,39.1336,117.2054,China
Lima,-12.06,-77.0375,Peru
Wuhan,30.5934,114.3046,China
Nanyang,32.9902,112.5285,China
Hangzhou,30.267,120.153,China
Nagoya,35.1833,136.9,Japan
Luanda,-8.8383,13.2344,Angola
Foshan,23.0214,113.1216,China
Kuala Lumpur,3.1686,101.698,Malaysia
Zhoukou,33.6367,114.7014,China
Tongshan,34.261,117.1859,China
Hanoi,21.0,105.85,Vietnam
Chicago,41.8375,-87.6866,United States
Nanjing,32.0608,118.7789,China
Heze,35.2343,115.4796,China
Pune,18.5203,73.8567,India
Jining,35.4151,116.5871,China
Bogotá,4.7111,-74.0722,Colombia
Ahmedabad,23.0225,72.5714,India
Shenyang,41.8025,123.4281,China
Dar es Salaam,-6.8161,39.2803,Tanzania
Khartoum,15.6031,32.5265,Sudan
Johannesburg,-26.2044,28.0456,South Africa
Fuyang,32.89,115.814,China
Hong Kong,22.3,114.2,Hong Kong
Ganzhou,25.831,114.933,China
Shangqiu,34.415,115.656,China
Cangzhou,38.3047,116.8387,China
Riyadh,24.65,46.71,Saudi Arabia
Santiago,-33.4372,-70.6506,Chile
Zhumadian,33.014,114.022,China
Zhanjiang,21.2701,110.3575,China
Rangoon,16.795,96.16,Burma
Yancheng,33.35,120.1569,China
Bijie,27.284,105.292,China
Xingtai,37.0717,114.5048,China
Hengyang,26.894,112.572,China
Shaoyang,27.2395,111.4679,China
Surabaya,-7.2458,112.7378,Indonesia
Sūrat,21.205,72.84,India
Quanzhou,24.8744,118.6757,China
Shangrao,28.4551,117.9431,China
Zunyi,27.722,107.031,China
Madrid,40.4169,-3.7033,Spain
Baghdad,33.3153,44.3661,Iraq
Maoming,21.6627,110.9255,China
Miami,25.784,-80.2101,United States
Xinyang,32.149,114.091,China
Houston,29.786,-95.3885,United States
Singapore,1.3,103.8,Singapore
Prayagraj,25.4358,81.8464,India
Huanggang,30.4537,114.8724,China
Dalian,38.9,121.6,China
Ankara,39.93,32.85,Turkey
Dallas,32.7935,-96.7667,United States
Qingdao,36.0669,120.3827,China
Yulin,22.654,110.181,China
Liaocheng,36.4559,115.9852,China
Douala,4.05,9.7,Cameroon
Qujing,25.491,103.796,China
Nangandao,35.3036,113.9268,China
Addis Ababa,9.03,38.74,Ethiopia
Philadelphia,40.0077,-75.1339,United States
Toronto,43.7417,-79.3733,Canada
Zhengzhou,34.764,113.684,China
Nanchong,30.8372,106.1106,China
Jinan,36.6702,117.0207,China
Giza,29.987,31.2118,Egypt
Saint Petersburg,59.9375,30.3086,Russia
Jieyang,23.551,116.3727,China
Dezhou,37.436,116.359,China
Nairobi,-1.2864,36.8172,Kenya
Guadalajara,20.6767,-103.3475,Mexico
Tai’an,36.202,117.087,China
Dazhou,31.2093,107.4678,China
Belo Horizonte,-19.9281,-43.9419,Brazil
Suzhou,33.648,116.964,China
Monterrey,25.6844,-100.3181,Mexico
Yongzhou,26.42,111.613,China
Changde,29.031,111.699,China
Xiangyang,32.01,112.122,China
Atlanta,33.7628,-84.422,United States
Pudong,31.2347,121.5064,China
Washington,38.9047,-77.0163,United States
Zhaotong,27.338,103.717,China
Zhangzhou,24.513,117.647,China
Yueyang,29.3647,113.1309,China
Melbourne,-37.8142,144.9631,Australia
Yichun,27.816,114.417,China
Abidjan,5.3364,-4.0267,Côte d’Ivoire
Guilin,25.275,110.296,China
Pingdingshan,33.7666,113.1926,China
Alexandria,31.1975,29.8925,Egypt
Bozhou,33.8463,115.7786,China
Sydney,-33.8667,151.2,Australia
Barcelona,41.3833,2.1833,Spain
Yuncheng,35.0267,111.007,China
Cape Town,-33.9253,18.4239,South Africa
Changsha,28.228,112.939,China
Suqian,33.963,118.275,China
Jeddah,21.5428,39.1728,Saudi Arabia
Weinan,34.5206,109.471,China
Berlin,52.52,13.405,Germany
Chenzhou,25.77,113.016,China
Jiangmen,22.5789,113.0815,China
Mianyang,31.468,104.679,China
Jiujiang,29.661,115.954,China
Huaihua,27.5698,110.0016,China
Huanglongsi,34.795,114.345,China
Taizhou,32.4567,119.9229,China
Belāhi,26.4,86.25,India
Yibin,28.752,104.643,China
Ji’an,27.0912,114.9668,China
Yangzhou,32.3944,119.4128,China
Kunming,25.0464,102.7094,China
Changchun,43.897,125.326,China
Lu’an,31.736,116.52,China
Xinpu,34.5966,119.2214,China
Langfang,39.5383,116.6835,China
Boston,42.3188,-71.0852,United States
Ürümqi,43.8225,87.6125,China
Suzhou,31.3,120.6194,China
Guigang,23.112,109.599,China
Shantou,23.354,116.682,China
Jiangguanchi,34.037,113.852,China
Kabul,34.5253,69.1783,Afghanistan
Xiaoganzhan,30.918,113.957,China
Bamako,12.6458,-7.9922,Mali
Kano,12.0,8.5167,Nigeria
Luzhou,28.871,105.442,China
Hefei,31.8206,117.2273,China
Hengshui,37.739,115.669,China
Fortaleza,-3.7275,-38.5275,Brazil
Anqing,30.5318,117.1153,China
Zhangjiakou,40.769,114.886,China
Zhaoqing,23.05,112.4667,China
Shijiazhuang,38.0425,114.51,China
Ningbo,29.8603,121.6245,China
Qiqihar,47.3549,123.9182,China
Phoenix,33.5722,-112.0892,United States
Liuzhou,24.3278,109.4278,China
Chifeng,42.255,118.8825,China
Xiaoxita,30.692,111.287,China
Amman,31.9497,35.9328,Jordan
Linfen,36.088,111.519,China
Xianyang,34.3299,108.7088,China
Chuzhou,32.256,118.333,China
Kumasi,6.7,-1.625,Ghana
Zhuzhou,27.829,113.133,China
Taiyuan,37.8704,112.5497,China
Qingyuan,23.682,113.056,China
Meizhou,24.289,116.122,China
Yiyang,28.5549,112.356,China
Nanning,22.8167,108.3275,China
Harbin,45.7576,126.6409,China
Loudi,27.6998,111.9944,China
Abuja,9.0667,7.4833,Nigeria
Yokohama,35.4442,139.6381,Japan
Suihua,46.654,126.969,China
Binzhou,37.383,117.971,China
Zaozhuang,34.8109,117.3238,China
Detroit,42.3834,-83.1024,United States
Xiamen,24.4796,118.0889,China
Mashhad,36.3264,59.5433,Iran
Montréal,45.5089,-73.5617,Canada
Fuzhou,26.0743,119.2964,China
Wuhu,31.3526,118.4331,China
Medan,3.5894,98.6739,Indonesia
Yulinshi,38.2858,109.7341,China
Fuzhou,27.949,116.358,China
Wenzhou,27.9938,120.6993,China
Changzhou,31.811,119.974,China
Puyang,35.7627,115.0292,China
Nanchang,28.683,115.858,China
Baicheng,23.903,106.619,China
Seattle,47.6211,-122.3244,United States
Ibadan,7.3964,3.9167,Nigeria
Jiaozuo,35.2157,113.2419,China
Nādampālaiyam,11.0125,76.9714,India
Deyang,31.127,104.398,China
Busan,35.18,129.075,"Korea, South"
Hechi,24.693,108.085,China
Tangshan,39.6294,118.1739,China
Lucknow,26.85,80.95,India
San Francisco,37.7558,-122.4449,United States
Boankra,6.6919,-1.4051,Ghana
Dubai,25.2631,55.2972,United Arab Emirates
Anshan,41.108,122.994,China
Guozhen,34.3609,107.1751,China
Baojishi,34.363,107.238,China
Qinzhou,21.981,108.654,China
Guiyang,26.647,106.63,China
Wuxi,31.5667,120.2833,China
Kannankulam,10.52,76.21,India
Caracas,10.4806,-66.9036,Venezuela
Kotla Qasim Khan,32.5833,73.75,Pakistan
Casablanca,33.5333,-7.5833,Morocco
Hanzhong,33.0664,107.0232,China
Shiyan,32.629,110.7987,China
Guang’an,30.4564,106.6326,China
Faisalabad,31.4167,73.0911,Pakistan
Changzhi,36.195,113.117,China
Tongren,27.7316,109.1895,China
Bengbu,32.917,117.389,China
Leshan,29.552,103.766,China
Santa Cruz de la Sierra,-17.7892,-63.1975,Bolivia
Neijiang,29.5802,105.058,China
Zhenjiang,32.188,119.424,China
Qinhuangdao,39.8882,119.5202,China
Bursa,40.1833,29.05,Turkey
Tashkent,41.3111,69.2797,Uzbekistan
Guayaquil,-2.19,-79.8875,Ecuador
Jaipur,26.9,75.8,India
Lanzhou,36.0606,103.8268,China
Ouagadougou,12.3686,-1.5275,Burkina Faso
Athens,37.9842,23.7281,Greece
San Diego,32.8313,-117.1222,United States
Guatemala City,14.6417,-90.5133,Guatemala
Kuwait City,29.3697,47.9783,Kuwait
Qincheng,34.5815,105.7248,China
İzmir,38.42,27.14,Turkey
Quezon City,14.65,121.0475,Philippines
Kyiv,50.45,30.5233,Ukraine
Kottārasshēri,10.775,76.651,India
Meishan,30.0771,103.8484,China
Incheon,37.4833,126.6333,"Korea, South"
Ningde,26.6662,119.5477,China
Zhongshan,22.517,113.3925,China
Minneapolis,44.9635,-93.2678,United States
Tampa,27.9945,-82.4447,United States
Putian,25.4526,119.0078,China
Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa)
Tongliao,43.654,122.243,China
Chaoyang,41.571,120.453,China
Hohhot,40.842,111.749,China
Pyongyang,39.0167,125.7475,"Korea, North"
Shaoguan,24.811,113.597,China
Taichung,24.1439,120.6794,Taiwan
Cali,3.4206,-76.5222,Colombia
Heyuan,23.7443,114.7002,China
Wuzhou,23.4767,111.279,China
Pretoria,-25.7461,28.1881,South Africa
Suining,30.533,105.593,China
Omdurman,15.6835,32.4629,Sudan
Weihai,37.5133,122.1205,China
Rizhao,35.417,119.527,China
Malang,-7.98,112.62,Indonesia
Stuttgart,48.7775,9.18,Germany
Daqing,46.589,125.104,China
Rome,41.8931,12.4828,Italy
Kaohsiung,22.615,120.2975,Taiwan
Brooklyn,40.6501,-73.9496,United States
Xiangtan,27.8313,112.9454,China
Bazhou,31.868,106.748,China
Handan,36.601,114.487,China
Brisbane,-27.4678,153.0281,Australia
Jinzhou,41.129,121.148,China
Denver,39.762,-104.8758,United States
Xinzhou,38.416,112.734,China
Nanping,26.6418,118.1774,China
Gāzipura,23.9234,90.3959,Bangladesh
Shanwei,22.7872,115.3756,China
Maracaibo,10.6333,-71.6333,Venezuela
Chaozhou,23.658,116.622,China
Baotou,40.6213,109.9532,China
Longyan,25.076,117.017,China
Weifang,36.708,119.162,China
Huai’an,33.551,119.113,China
Zibo,36.8138,118.055,China
Attadappa,11.8689,75.3555,India
Munich,48.1375,11.575,Germany
Gulou,26.0865,119.298,China
Birmingham,52.48,-1.9025,United Kingdom
Valencia,10.1833,-68.0,Venezuela
